Format,Appearances,Example,Interpretation
Weihnachten ____,1,Weihnachten 1922,
Mittwoch Abend _ _/_ Uhr d. __. 🌕 ____,1,Mittwoch Abend 6 1/2 Uhr d. 22. Augst [18]55,22.1.1855
__. 🌕us Anno ____,1,20. Julius Anno 1794,
____-____,1,[1780-1786],1780/1786
Himelfahrt ____,1,Himelfahrt [18]68,
_. 🌕 circa ____?,1,9. Mai [circa 1860?],
Samstag Nachmittag d. __. 🌕 ____ ... _. Blatt,1,Samstag Nachmittag d. 21. Juli [18]55 [...] [1. Blatt] ,21.1.1855
Samstag Abends _ _/_ Uhr d. __. 🌕 ____ _. Blatt,1, Samstag Abends 6 1/2 Uhr d. 21. Juli 1855 [2. Blatt],21.7.1855
"Montag Nachmittag _ Uhr d. __. 🌕 ____ ..., _tes Blatt",1,"Montag Nachmittag 3 Uhr d. 23. Juli [18]55 [...], 1tes Blatt ",23.1.1855
Montag Abends _ Uhr d. __. 🌕 ____. _tes Blatt,1, Montag Abends 7 Uhr d. 21. Juli [18]55. 2tes Blatt,21.7.1855
____. 🌕. __.,1,1825. VI. 20.,25.6.1825
🌕m 🌕 ____,1,Im Dez. 1946,1.1946
den __. 🌕 ____ nach der Natur gezeichnet,1,den 31. August 1860 nach der Natur gezeichnet,31.8.1860
Zwischen ____ und ____?,1,[Zwischen 1902 und 1910?],1902/1910?
_. u. _. 🌕 ____,1,7. u. 8. Juli 1900,8.7.1900
🌕 _.____.,1,Juni 8.[18]60.,
zwischen ____-____?,1,[zwischen 1839-1841?],1839/1841?
_. 🌕 ____ ad nat.,1,1. Mai 1813 ad nat.,1.5.1813
d. __. 🌕 ____,1,d. 27. April 1900,27.4.1900
nicht vor _. 🌕 ____,1,[nicht vor 2. März 1893],2.1.1893
A.o. ____,1,A.o. 1699,
____ ad nat.,1,1813 ad nat.,
🌕 _ ____?,1,April 3 [1902?],
"____, 🌕.",1,"[19]06, Febr.",
"____, 🌕",1,"1906, März",
_. 🌕____,1,7. Aug [18]69,7.8.1869
__/__ ____,1,11/11 [18]57,
nicht später als ____,1,[nicht später als 1835],
__. 🌕? ____,1,22. Juni[?] [18]53,
🌕erlag nicht ermittelbar,1,[Verlag nicht ermittelbar],
"__,_ x __,_ cm",1,"15,6 x 15,3 cm",
f. ____,1,f. 1794,
Ende 🌕 ____,1,Ende April 1917,4.1917
... im 🌕 ____ ...,1,... im October 1922 ...,1.1922
cf. _ 🌕 ____,1,cf. 4 July [18]72,4.7.1872
gezeichnet im Jahr ____,1,gezeichnet im Jahr 1813,
um d? Jahr ____,1,[um d?] Jahr 1802,
auf das Neujahr ____,1,auf das Neujahr 1820,
auf Neujahrstage ____,1,auf Neujahrstage 1821,
auf den neuen Jahrestag ____,1,auf den neuen Jahrestag 1664,
🌕.____,1,VII.[18]91,7.1891
__. 🌕mb. ____,1,30. Septemb. [18]58,
🌕. 🌕. ____,1,I. Oktb. 1901,1.1901
MDCCCL❓🌕,1,MDCCCLXXVI,
gezeichnet anno ____ ...,1,gezeichnet anno 1849 ...,
am _. 🌕 ____,1,am 2. Okt. 1852,2.10.1852
den __sten 🌕us ____,1,den 22sten Junius 1813,
__/_.____,1,22/4.[19]04,
🌕. _.____.,1,July. 2.[18]60.,
den __ten 🌕 ____,1,[den 27ten Oktober 1862],10.1862
__. Jahrhunder;\_,1,[19. Jahrhunder];\3 ,
Am __. 🌕 ____,1,Am 19. Juli 1919,19.7.1919
A; Ch:____,1,A; Ch:1649,
____ oder ____?,1,[1786 oder 1802?],
Aufnahme am __/🌕/____,1,Aufnahme am 29/VII/[18]94,
ad. nat. d. _. 🌕j ____.,1,ad. nat. d. 5. Maij 1795.,
🌕. __,1,Oct. 97,10.97
____?;\_,1,[1896?];\3 ,
A. D. N. MDC. 🌕,1,A. D. N. MDC. XII,
____ und ____;\_,1,[1985 und 1904];\3 ,1985/1904
____ und ____,1, [1985 und 1904],1985/1904
nicht vor dem _. 🌕 ____,1,[nicht vor dem 5. Juli 1887],5.1.1887
____-____?,1,[1825-1845?],1825/1845?
"🌕 __, ____",1,"June 20, 1857",6.1857
vers ____,1,[vers 1840],
zweite ½ des __. ¢s,1,[zweite Hälfte des 17. Jahrhunderts],16
vor dem _e 🌕mbre ____,1,vor dem 2e Septembre 1806,
<<Den>> _ten 🌕 Anno ____,1,<<Den>> 8ten September Anno 1783,
von ____-____ verlegt,1,[von 1836-1859 verlegt],1836/1859
vor dem _. 🌕 ____,1,[vor dem 5. Juli 1887],5.5.1887
A: ____,1,A: 1755,
🌕y ____,1,Jan[uar]y 1803,
den __. 🌕 ____,1,den 30. Aug. 1870,30.8.1870
____. _. 🌕 🌕ormittag,1,1909. 2. Juni Vormittag,
_. 🌕? ____,1,4. Aout? [18]46,
"🌕 🌕, ____",1,"May I, 1820",
den __ 🌕 ____,1,den 19 August 1860,19.8.1860
