Format;Appearances;Example;Interpretation;inaccurate;wrong;notes
Aufgenommen __ ?b __ i.e. __.__.____;2;Aufgenommen 28 Octb 60 [i.e. 28.10.1860];1860-10-28;;;
Aufgenommen _ ? __ i.e. _._.____;2;Aufgenommen 8 Juli 60 [i.e. 8.7.1860];1860-07-08;;;
_._.____;2;[8.7.1860];1860-07-08;;;
den _ ?. ____;2;d[en] 8 Sep. [18]74;1874-09-08;;;
__.?.____;2;27.IX.1874;1874-09-27;;;
?. __.;1;Febr. 36.;1936-02;;;How do you know its the 20th century?
ca. ___-?;1;[ca. 183-?];1830?/1839?;;;
?/? ____;1;[Februar/März 1740];1740-02;x;;
ca. __--;1;[ca. 18--];1800?/1899?;;;
__. ¢?;1;[19. Jahrhundert?];18XX;;;
le _ ? ____ -;1;le 2 Aout 1844 -;;x;x;
____ ?;1;1844 Septbr;1844;x;;
?y __ = ____;1;July 31 = 1844;1844;x;;
le __. ?y ____;1;le 12. July 1844;1844;x;;
ca. ____/__;1;[ca. 1835/36];1835/1836;;;
Di. __.t ?. ____;1;Di. 16.t Febr. 1835;1835-01;x;x;
? ____?;1;[Oktober 1841?];1841-10~;;;
zwischen ____ - ____?;1;[zwischen 1770 - 1790?];1770/1790;;;
nicht nach ____;1;[nicht nach 1895];/1895;;;
le _ ?. ____ __h. matin;1;le 3 Aust. 1787 11h. m[atin];;x;x;
ca. ____/____;1;[ca. 1515/1516];1515/1516;;;
zwischen ____ und vor ____?;1;[zwischen 1847 und vor 1856?];1847?;x;x;
Samstag _. ? ____;1;Samstag 6. May 1854;1854-05-06;;;
__._.____?;1;21.1.[17]83?;1783-01-21;;;
vermutlich um ____;1;[vermutlich um 1856];1856?;;;
le ?. ____;1;le 7br. 1784;1784-09;;;
le __._.____;1;le 13.7.1785;1785-07-13;;;
... ? ____;1;[...] März [18]62;1862-03;;;
den __._.____ um _ Uhr dess Morgens;1;den 17.8.1785 um 9 Uhr dess Morgens;1785-08-17;;;
den __._.____ um __ Uhr des Morgens;1;den 20.8.1785 um 10 Uhr des Morgens;1785-08-20;;;
le __.__.____;1;le 18.11.1786;1786-11-18;;;
le _ ? ____ ... à _ hrs.;1;le 4 October 1787 ... à 2 hrs.;;x;x;
den __ten ?: ____;1;den 23ten Dec: 1817;1817;x;;
dn __. ?. ____;1;dn 28. 7br. 1792;1792-09-28;;;
d. _. ?. ____;1;d. 5. 8br. 1792;1792-10-05;;;
im ? ____;1;im 9br 1792;1792-01;x;x;
den ?. ____;1;den Augst. 1794;1794-08;;;
Den __ ?. ____;1;Den 24 Augst. 1805;1805-08-24;;;
Den __. ?. ____;1;Den 28. Jul. 1812;1812-07-28;;;
Den . . ____;1;Den . . 1814;1814;;;
_... ? ____;1;2[...] Aug [18]61;1861-08-02;x;;
__ / __ ? ____;1;22 / 29 Aug [18]59;1859-08-29;x;;
__ / __ ?. ____;1;22 / 30 Aug. [18]59;1859-08-30;x;;
... ____;1;[...] 1872;1872;;;
Charfreitag __ ? ____;1;Charfreitag 13 April 1900;1900-01-13;x;;
_ ? __ i.e._.__.____;1;7 X 89 [i.e.7.10.1889];1889-10-07;;;
aufgen. __ ? __ i.e. __._.____;1;aufgen. 11 Sept 59 [i.e. 11.9.1859];1859-09-11;;;
__ ? __ sowie am rechten Bildrand __ ? __ i.e. __._. bzw. __.__.____;1;[11] Sept 59 sowie am rechten Bildrand 24 Oct 59 [i.e. 11.9. bzw. 24.10.1859];1859-10-24;x;;
den __. ?. ____ gzcht;1;den 22. Jul. 1820 gzcht;;x;x;
__ ?... __ __.__.____;1;17 Oct[...] 61 [17.10.1861];1861-10-17;;;
__ ? __ / __ ? __ i.e. __._. bzw. __.__.____;1;11 Sept 59 / 21 Oct 59 [i.e. 11.9. bzw. 21.10.1859];1859-10-21;x;;
genau gezeichnet. __ ? ____;1;genau gezeichnet. 24 Juni 1860;1860-01-24;x;x;
en ? ____;1;en May 1817;1817-05;;;
__ ? __ ziemlich genau i.e. __._.____;1;30 V 89 ziemlich genau [i.e. 30.5.1889];1889-05-30;;;
Am Auffahrtstage ____, __ ?;1;Am Auffahrtstage 1889[,] 30 Mai;1889;x;;
en ?l. ____;1;en avrl. 1817;1817;x;-;
en ?l ____;1;en avrl 1817;1817;x;-;
circa ____?;1;[circa 1710?];1710?;;;
Mei ____;1;Mei 1780;1780;x;-;
le __ d'av. ____;1;le 20 d'av. [17]84;1784;x;-;
le __._.____ à __h.;1;le 21.7.1785 à 12h.;1785-07-21;;;
le __._.____. à __ heures du matin;1;le 31.7.1785. à 11 heures du matin;1785-07-31;;;
le _ ? ____ à _h. s.;1;le 1 aoust 1785 à 5h. s.;;x;x;
le _ ? ____ à _h. du soir;1;le 5 aoust 1785 à 3h. du soir;;x;x;
le __._.____. à _.h. du matin;1;le 11.8.1785. à 6.h. du matin;1785-08-11;;;
le __._.____. à __h. du matin;1;le 10.8.1785. à 10h. du matin;1785-08-10;;;
_/_ ? __ i.e. _._. ? ____;1;4/5 April 61 [i.e. 4.5. April 1861];1861-04-05;x;;
den __._.____ __. Uhr;1;den 25.8.1785 10. [Uhr];1785-08-25;;;
den __. ? ____ abends um _ Uhr;1;den 25. Augst 1785 abends um 3 Uhr;;x;x;
le __. ? ____ à _h. du soir;1;le 23. mars 1786 à 4h. du soir;;x;x;
le __. ?. ____. à _h. soir;1;le 24. avr. 1786. à 6h. s[oir];;x;x;
le __. av. ____. __h. matin;1;le 25. av. 1786. 10h. m[atin];1786;x;;
le __. ? ____. _h. ssoir;1;le 12. May 1786. 4h. s[soir];;x;x;
le __. ? ____. _h. soir;1;le 18. juin 1786. 6h. s[oir];;x;x;
le __ ?v. ____. à __h. matin;1;le 14 janv. 1787. à 11h. m[atin];1787;x;;
le _. _ber ____ à _. heures du soir;1;le 4. 8ber 1787 à 3. [heures du] s[oir];1787;x;;
__/__. ?. __ i.e. __./__._.____;1;18/19. II. 99 [i.e. 18./19.2.1899];1899-02-19;x;;
Travaillé le __ ? ____;1;Travaillé le 25 Juin 1849;1849-05-25;x;x;
le _. ?l ____;1;le 1. avrill 1788;1788;x;-;
den __. ?l ____;1;den 20. Aprill 1788;1788;x;-;
_ ? __ i.e._._.____;1;2 Sept 61 [i.e.2.9.1861];1861-09-02;;;
gez. den __. ?. ____. gemalt den __ ? ____;1;gez. den 16. Sept. 1872. gemalt den 17 Februar 1873;;x;x;
Ostersamstag __ ? ____;1;Ostersamstag 15 IV 1900;1900-04-15;;;
_. ? ____.;1;7. Juli [18]91.;1891-07-07;;;
____. ad. nat.;1;1813. ad. nat.;1813;;;
__/_ ? ____;1;27/8 Sept 1911;1911-09-08;x;;
_ ?. __ _._.____;1;8 Sept. 11 [8.9.1911];1911-09-08;;;
_. ?. __ i.e. ____;1;3. Nov. 61 [i.e. 1861];1861-11-03;;;
Montag den __. ?. __ i.e. ____;1;Montag den 30. Sept. 67 [i.e. 1867];1867-09-30;;;
aufgenommen den __. ? ____;1;aufgenommen den 15. Juni 1865;1865-06-15;;;
Montag den __. ? ____;1;Montag den 13. März 1871;1871-03-13;;;
Montag den _. ? ____;1;Montag den 6. März 1871;1871-03-06;;;
Donnerstag den _. ? ____;1;Donnerstag den 9. März 1871;1871-03-09;;;
Donnerstag den __. ? ____;1;Donnerstag den 13. April 1871;1871-04-13;;;
gez. den __ ? ____ fertig gemalt den __. ? __;1;gez. den 16 Sept 1872 fertig gemalt den 13. May 73;;;x;
? br ____;1;Sept br 1903;1903;x;;
__ ?y __ i.e. __._.____;1;20 July 61 [i.e. 20.7.1861];1861-07-20;;;
aufgen _ ? ____;1;[aufgen 9 May 1861];1861-05-09;;;
? __ i. e. ? ____;1;Mai 86 [i. e. Mai 1886];1886-05;;;
A°. anno ____;1;A°. [anno] 1706;1706;;;
ad. nat. __.__.____.;1;ad. nat. 18.11.1818.;1818-11-18;;;
____ ad. nat.;1;1813 ad. nat.;1813;;;
den __ ? ? ____;1;den 10 Mars [März] 1811;1811-03;x;;
__ / __ ? __ i.e. __./__.__.____;1;16 / 19 Oct 59 [i.e. 16./19.10.1859];1859-10-19;x;;
__ ?em ____;1;27 [Novem] 1874;1874;x;;
__ ? __ aufg i.e. __._.____;1;18 März 60 aufg [i.e. 18.3.1860];1860-03-18;;;
aufgen __ ? __ i.e. __._.____;1;aufgen 31 Juli 59 [i.e. 31.7.1859];1859-07-31;;;
Am Ostersonntag ____;1;Am Ostersonntag [18]83;1883;x;;Add date or time range? (22.3.-25.4.)
den __ ? ____, morgens;1;den 14 Augst 1793, morgens;;x;x;
_ ?b ____;1;8 Novb 1859;1859;x;;
_ / __ ?. ____;1;7 / 23 Aug. 1859;1859-08-23;x;;
__ ? __ i.e.__._.____;1;30 IX 92 [i.e.30.9.1892];1892-09-30;;;
_. ? __ aufg. i.e. _._.____;1;4. April 60 aufg. [i.e. 4.4.1860];1860-04-04;;;
__ ? __ genau i.e. __._.____;1;22 Mai 89 genau [i.e. 22.5.1889];1889-05-22;;;
Palmsonntag __ ? __ i.e. __._.____;1;Palmsonntag 22 III 91 [i.e. 22.3.1891];1891-03-22;;;
__ ?b. ____;1;27 Octb. 1861;1861;x;;
Pfingstsonntag _ ?. __ i.e. _._.____;1;Pfingstsonntag 5 VI. 92 [i.e. 5.6.1892];1892-06-05;;;
ca ____;1;ca 1853;1853?;;;
__ ? __ i.e. __ ? __;1;26 IX 87 [i.e. 26 IX 87];0087-09-26;x;x;
ca. vor ____;1;[ca. vor 1878];1878?;x;;
Ostermontag _ ?. ____ i.e. _._.____;1;Ostermontag 8 IV. 1901 [i.e. 8.4.1901];1901-04-08;;;
Aufg. __ ? ____;1;Aufg. 31 März 1860;1860-03-31;;;
cop. ? ____;1;cop. Maerz 1884;1884-03;;;
__/__ ? __;1;20/21 Sept 81;0081-09-21;x;x;
Aufg. __ ?. __ i.e. __._.____;1;Aufg. 19 Sept. 58 [i.e. 19.9.1858];1858-09-19;;;
_.__.__.__ i.e. ? ____;1;2.11.20.86 [i.e. [?] 1886];0020-11-02;x;x;
aufg. _ ? ____;1;aufg. 8 Juli 1859;1859-07-08;;;
Aufg._ ? __ i.e. _._.____;1;Aufg.9 Juli 59 [i.e. 9.7.1859];1859-07-09;;;
ca. ____ und ____;1;[ca. 1890 und 1904];1890/1904;x;;
Aufge __ ? __ i.e. __._.____;1;Aufge 21 April 60 [i.e. 21.4.1860];1860-04-21;;;
